Position,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,yearID,teamID,OPS
C,194,579,76,158,37,2,22,98,93,10,122,10,2,5,0,7,17,5,3,0.273,0.38,0.458,2010,ATL,0.8380000000000001
1B,202,597,78,148,35,0,23,108,89,3,151,4,0,6,0,9,23,0,0,0.248,0.346,0.422,2010,ATL,0.768
2B,174,700,111,214,35,5,19,64,46,2,93,2,5,6,0,8,13,10,4,0.306,0.347,0.451,2010,ATL,0.798
3B,203,630,98,179,42,2,18,95,90,6,105,2,3,3,0,6,18,7,4,0.284,0.374,0.443,2010,ATL,0.817
SS,171,604,70,156,33,2,7,67,54,3,94,7,5,3,0,4,19,6,4,0.258,0.325,0.354,2010,ATL,0.679
LF,229,621,67,150,41,3,14,83,51,6,129,5,3,5,0,13,15,7,2,0.242,0.302,0.385,2010,ATL,0.687
CF,197,551,68,128,28,5,7,48,77,14,129,4,7,3,0,2,8,9,5,0.232,0.329,0.339,2010,ATL,0.668
RF,171,621,94,171,34,5,19,77,96,3,141,11,2,3,0,17,16,14,6,0.275,0.38,0.438,2010,ATL,0.8180000000000001
C,178,606,64,167,26,0,29,92,73,14,138,2,2,2,1,4,14,3,3,0.276,0.354,0.462,2011,ATL,0.8160000000000001
1B,174,615,72,172,34,0,22,82,59,3,152,6,1,5,0,5,16,4,4,0.28,0.346,0.442,2011,ATL,0.788
2B,171,617,90,141,22,1,36,82,65,3,164,7,1,4,0,7,9,2,3,0.229,0.307,0.442,2011,ATL,0.749
3B,189,639,78,171,37,1,20,86,63,10,104,2,2,6,0,13,12,5,5,0.268,0.332,0.423,2011,ATL,0.755
SS,173,624,63,148,28,1,15,57,25,1,138,1,8,2,0,10,19,2,0,0.237,0.267,0.357,2011,ATL,0.624
LF,196,631,77,163,34,4,18,61,62,4,94,2,1,4,0,11,17,8,12,0.258,0.325,0.41,2011,ATL,0.735
CF,169,644,93,165,23,7,5,40,61,1,132,4,14,3,1,10,7,39,13,0.256,0.323,0.337,2011,ATL,0.66
RF,196,592,67,141,25,2,18,61,63,7,134,3,3,3,2,6,11,12,4,0.238,0.313,0.378,2011,ATL,0.6910000000000001
C,174,602,62,146,21,0,29,91,61,7,127,1,0,5,0,4,20,4,0,0.243,0.311,0.422,2012,ATL,0.733
1B,167,597,94,147,34,2,23,95,71,5,143,7,0,9,0,7,11,2,0,0.246,0.329,0.425,2012,ATL,0.754
2B,168,562,90,121,31,0,19,81,98,5,171,10,0,5,0,5,10,4,4,0.215,0.339,0.372,2012,ATL,0.7110000000000001
3B,177,610,82,178,38,1,22,93,68,9,109,1,1,4,0,8,17,3,2,0.292,0.362,0.466,2012,ATL,0.8280000000000001
SS,193,576,56,134,21,4,4,47,41,3,90,4,7,5,0,6,11,5,0,0.233,0.286,0.304,2012,ATL,0.59
LF,187,633,79,192,47,5,12,77,54,3,90,3,2,8,0,10,21,18,3,0.303,0.357,0.45,2012,ATL,0.8069999999999999
CF,170,665,98,176,26,10,9,57,73,1,166,3,3,4,0,6,2,43,14,0.265,0.338,0.374,2012,ATL,0.712
RF,170,625,97,172,34,6,27,85,60,1,156,2,0,3,1,8,5,21,7,0.275,0.339,0.478,2012,ATL,0.817
C,174,597,69,149,30,0,27,94,59,5,118,11,2,6,0,6,18,1,2,0.25,0.325,0.436,2013,ATL,0.761
1B,169,618,94,196,31,2,24,115,69,10,134,8,0,5,0,7,12,1,0,0.317,0.39,0.49,2013,ATL,0.88
2B,178,561,75,111,15,4,22,62,85,2,186,9,0,5,0,4,8,8,2,0.198,0.311,0.357,2013,ATL,0.6679999999999999
3B,228,626,64,185,38,2,18,88,38,5,155,1,1,3,0,6,22,0,2,0.296,0.335,0.449,2013,ATL,0.784
SS,172,644,79,164,29,6,18,64,44,1,61,3,5,4,0,15,17,6,5,0.255,0.304,0.402,2013,ATL,0.706
LF,215,637,103,166,31,2,28,77,68,4,184,5,3,4,0,5,14,10,3,0.261,0.335,0.447,2013,ATL,0.782
CF,183,590,63,122,25,2,13,46,74,3,202,4,2,6,1,10,10,15,7,0.207,0.297,0.322,2013,ATL,0.619
RF,191,632,87,158,32,3,19,59,72,3,146,9,2,0,0,7,10,16,8,0.25,0.335,0.4,2013,ATL,0.7350000000000001
C,174,609,60,154,26,1,22,69,39,4,143,10,0,2,0,5,15,1,1,0.253,0.308,0.407,2014,ATL,0.715
1B,165,609,93,175,43,4,18,78,90,4,147,8,0,3,0,3,18,3,4,0.287,0.385,0.46,2014,ATL,0.845
2B,202,602,49,135,24,2,5,50,57,2,116,4,6,2,0,6,9,3,2,0.224,0.295,0.296,2014,ATL,0.591
3B,176,633,47,169,30,0,10,60,27,3,168,2,4,3,0,4,24,6,0,0.267,0.298,0.362,2014,ATL,0.6599999999999999
SS,172,615,53,156,19,4,9,51,37,5,79,1,3,2,0,11,25,7,6,0.254,0.296,0.341,2014,ATL,0.637
LF,181,618,82,162,34,2,30,107,60,1,184,6,0,8,1,3,10,12,4,0.262,0.329,0.469,2014,ATL,0.798
CF,167,614,77,125,22,6,13,39,68,6,200,1,5,2,0,7,7,30,8,0.204,0.283,0.322,2014,ATL,0.605
RF,172,625,77,168,30,3,12,65,74,3,111,7,0,3,0,8,1,25,5,0.269,0.351,0.384,2014,ATL,0.735
C,170,610,57,165,37,1,12,66,30,4,85,7,0,3,0,10,30,1,3,0.27,0.311,0.393,2015,ATL,0.704
1B,184,596,81,162,32,1,24,89,73,5,151,8,0,2,1,7,8,6,1,0.272,0.358,0.45,2015,ATL,0.808
2B,172,619,62,146,25,6,8,61,59,4,136,3,8,3,0,5,7,13,10,0.236,0.304,0.334,2015,ATL,0.638
3B,201,621,58,159,27,1,21,60,40,2,112,4,1,6,0,3,19,2,1,0.256,0.303,0.404,2015,ATL,0.7070000000000001
SS,166,596,69,163,28,2,5,53,42,6,56,6,1,4,0,8,21,6,4,0.273,0.326,0.352,2015,ATL,0.6779999999999999
LF,216,579,56,130,25,0,10,58,62,3,154,6,3,5,0,6,18,7,6,0.225,0.304,0.32,2015,ATL,0.624
CF,178,623,78,167,22,5,10,74,59,3,125,2,4,5,0,8,17,28,6,0.268,0.331,0.368,2015,ATL,0.6990000000000001
RF,174,640,78,188,38,1,5,55,69,11,89,5,0,1,0,13,18,2,1,0.294,0.366,0.38,2015,ATL,0.746
C,173,595,47,150,39,0,12,76,49,3,135,15,3,7,0,8,15,2,0,0.252,0.321,0.378,2016,ATL,0.6990000000000001
1B,165,603,104,181,44,6,35,94,90,18,174,10,0,5,0,5,12,6,1,0.3,0.397,0.567,2016,ATL,0.964
2B,195,620,65,155,31,2,12,61,63,4,117,3,2,6,0,10,20,8,6,0.25,0.319,0.365,2016,ATL,0.6839999999999999
3B,176,648,79,176,37,2,14,74,45,4,107,9,0,1,1,5,24,7,3,0.272,0.327,0.4,2016,ATL,0.7270000000000001
SS,182,610,58,146,26,3,5,52,44,11,124,6,5,9,0,12,19,8,6,0.239,0.293,0.316,2016,ATL,0.609
LF,194,627,88,157,34,4,17,84,54,4,155,2,2,9,0,12,18,12,3,0.25,0.308,0.399,2016,ATL,0.7070000000000001
CF,171,647,98,182,31,8,7,47,53,5,110,6,8,3,0,10,11,23,11,0.281,0.34,0.386,2016,ATL,0.726
