Position,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,yearID,teamID,OPS
CF,174,616,83,173,26,5,18,62,77,3,149,4,2,3,0,9,8,13,5,0.281,0.363,0.427,2014,HOU,0.79
RF,175,583,70,133,18,1,23,78,68,6,189,12,2,5,0,6,10,13,6,0.228,0.319,0.381,2014,HOU,0.7
DH,169,561,77,138,24,2,38,92,53,5,192,7,0,4,0,2,10,6,2,0.246,0.317,0.499,2014,HOU,0.8160000000000001
C,182,540,66,120,30,0,23,66,57,1,180,4,2,5,0,1,11,0,1,0.222,0.299,0.406,2015,HOU,0.7050000000000001
1B,205,543,68,120,24,0,28,76,72,1,176,9,4,6,1,5,9,1,3,0.221,0.319,0.42,2015,HOU,0.739
2B,172,679,91,217,42,4,17,72,36,8,74,9,3,6,0,9,18,38,13,0.32,0.359,0.468,2015,HOU,0.827
3B,181,602,83,134,31,1,27,72,61,1,131,6,1,5,0,9,14,1,1,0.223,0.298,0.412,2015,HOU,0.71
SS,170,617,80,169,35,2,30,93,57,6,131,3,2,4,0,10,17,19,6,0.274,0.336,0.483,2015,HOU,0.819
LF,226,592,78,147,31,4,35,86,42,0,173,4,1,2,0,3,6,4,2,0.248,0.302,0.492,2015,HOU,0.794
CF,195,564,75,129,30,3,16,53,45,1,165,8,10,5,0,8,5,30,10,0.229,0.293,0.378,2015,HOU,0.671
RF,182,618,80,157,28,4,21,63,62,0,183,8,2,4,0,6,8,18,7,0.254,0.328,0.414,2015,HOU,0.742
DH,168,578,73,143,24,8,27,95,37,3,132,4,0,6,0,11,13,2,1,0.247,0.294,0.457,2015,HOU,0.751
C,187,553,69,128,27,3,30,73,59,2,181,1,1,1,0,4,13,4,2,0.231,0.306,0.454,2016,HOU,0.76
1B,201,599,66,139,28,2,19,62,54,1,165,5,4,4,0,8,15,9,6,0.232,0.299,0.381,2016,HOU,0.6799999999999999
2B,179,662,106,218,44,4,22,94,59,9,76,6,2,5,0,6,17,29,8,0.329,0.387,0.508,2016,HOU,0.895
3B,181,619,80,145,37,3,25,83,58,2,149,4,4,3,0,9,17,4,1,0.234,0.303,0.425,2016,HOU,0.728
SS,173,628,83,175,39,4,20,98,77,5,150,5,0,3,0,17,14,15,3,0.279,0.36,0.449,2016,HOU,0.8089999999999999
LF,211,599,61,136,23,3,18,64,46,0,158,2,2,3,0,6,16,6,5,0.227,0.283,0.366,2016,HOU,0.649
CF,191,575,65,121,34,2,15,60,42,3,178,6,6,2,0,9,14,19,5,0.21,0.27,0.355,2016,HOU,0.625
RF,173,649,110,163,29,4,28,79,87,2,183,10,1,2,0,6,14,9,10,0.251,0.348,0.438,2016,HOU,0.786
DH,178,539,62,118,24,4,19,62,58,6,167,8,2,7,0,10,12,3,3,0.219,0.301,0.384,2016,HOU,0.685
C,177,596,87,150,27,0,33,103,56,4,96,10,1,8,0,6,19,1,1,0.252,0.322,0.463,2017,HOU,0.785
1B,191,628,85,188,50,1,25,93,28,1,85,8,1,4,0,8,12,5,3,0.299,0.335,0.502,2017,HOU,0.837
2B,180,645,117,228,47,4,29,101,59,3,89,10,1,6,0,8,20,34,5,0.353,0.413,0.574,2017,HOU,0.9869999999999999
3B,183,597,93,163,44,4,25,82,60,2,118,7,2,7,0,6,17,15,4,0.273,0.343,0.486,2017,HOU,0.829
SS,177,622,111,195,40,3,27,112,77,6,131,5,0,7,0,10,14,8,5,0.314,0.39,0.518,2017,HOU,0.908
LF,225,589,85,156,35,2,17,79,56,6,127,8,2,7,1,9,17,14,1,0.265,0.333,0.418,2017,HOU,0.751
CF,210,618,118,172,33,1,39,107,56,1,174,9,3,4,2,9,12,12,11,0.278,0.345,0.524,2017,HOU,0.869
RF,218,632,106,180,32,4,22,90,66,1,110,7,1,10,6,17,14,5,8,0.285,0.354,0.453,2017,HOU,0.8069999999999999
DH,167,590,77,133,35,1,19,73,46,3,125,4,0,5,0,5,11,0,0,0.225,0.284,0.385,2017,HOU,0.669
C,196,539,66,120,23,1,19,62,46,0,149,12,1,2,0,3,19,0,1,0.223,0.297,0.375,2018,HOU,0.6719999999999999
1B,189,625,73,177,36,2,19,101,45,1,102,7,1,7,0,10,20,2,2,0.283,0.335,0.438,2018,HOU,0.773
2B,186,641,97,190,31,2,20,72,63,5,110,7,2,1,0,4,20,18,6,0.296,0.365,0.445,2018,HOU,0.81
3B,183,619,102,176,47,1,29,101,88,2,91,10,0,2,0,6,18,11,4,0.284,0.381,0.504,2018,HOU,0.885
SS,178,603,84,139,31,1,21,87,77,4,148,4,2,12,0,6,22,4,1,0.231,0.316,0.39,2018,HOU,0.706
LF,232,565,81,131,25,5,18,71,61,1,138,6,3,2,1,5,12,12,2,0.232,0.312,0.389,2018,HOU,0.7010000000000001
CF,223,586,98,143,29,1,22,71,53,1,160,9,4,3,4,12,17,8,5,0.244,0.315,0.41,2018,HOU,0.725
RF,203,608,99,163,23,2,28,81,77,3,125,1,0,5,2,10,12,12,4,0.268,0.349,0.451,2018,HOU,0.8
DH,168,562,72,136,29,2,28,104,47,2,130,3,1,7,1,7,14,1,1,0.242,0.3,0.45,2018,HOU,0.75
C,175,562,81,122,29,1,22,71,70,0,188,15,2,5,0,13,14,2,2,0.217,0.317,0.39,2019,HOU,0.7070000000000001
1B,197,621,81,178,45,1,28,104,59,2,108,6,0,9,0,7,18,4,1,0.287,0.35,0.498,2019,HOU,0.848
2B,188,662,115,192,38,5,38,100,53,1,102,4,1,6,0,6,25,8,8,0.29,0.343,0.535,2019,HOU,0.8780000000000001
3B,185,600,110,161,37,5,33,109,100,2,88,12,0,9,0,7,13,5,4,0.268,0.379,0.512,2019,HOU,0.891
SS,193,604,109,171,35,1,40,107,88,1,135,4,1,5,0,2,11,7,0,0.283,0.375,0.543,2019,HOU,0.918
LF,214,652,104,204,46,4,26,105,57,5,99,6,1,6,1,8,20,10,3,0.313,0.37,0.515,2019,HOU,0.885
CF,215,611,113,167,32,4,36,92,63,0,171,9,3,4,0,4,13,17,5,0.273,0.348,0.516,2019,HOU,0.864
RF,206,638,81,172,24,5,20,81,57,1,103,4,1,7,2,7,13,9,1,0.27,0.33,0.417,2019,HOU,0.747
DH,165,578,100,159,35,1,42,111,81,4,143,5,0,4,0,3,14,2,1,0.275,0.367,0.557,2019,HOU,0.924
C,189,525,60,97,16,1,19,53,67,2,176,8,4,1,0,7,12,0,0,0.185,0.286,0.328,2021,HOU,0.614
1B,174,622,95,192,37,0,17,99,62,3,86,6,0,13,0,3,20,0,1,0.309,0.37,0.45,2021,HOU,0.8200000000000001
2B,171,679,122,180,36,1,32,91,66,3,111,5,1,6,0,8,12,5,3,0.265,0.332,0.462,2021,HOU,0.794
3B,176,630,84,164,27,1,24,104,60,4,114,11,0,5,0,6,17,4,1,0.26,0.333,0.421,2021,HOU,0.754
SS,170,603,105,163,38,1,27,95,80,2,133,7,1,6,0,9,18,0,1,0.27,0.359,0.471,2021,HOU,0.83
LF,211,635,111,186,39,3,29,97,56,3,119,12,0,5,0,8,15,6,1,0.293,0.359,0.501,2021,HOU,0.86
CF,177,574,72,155,28,1,12,76,58,0,153,8,3,6,0,7,10,22,7,0.27,0.342,0.385,2021,HOU,0.7270000000000001
RF,176,625,101,182,39,4,36,113,52,4,126,1,0,8,2,8,13,13,2,0.291,0.343,0.539,2021,HOU,0.8820000000000001
DH,163,600,89,157,34,2,22,93,56,4,160,6,0,3,0,2,17,2,0,0.262,0.329,0.435,2021,HOU,0.764
C,187,529,53,99,19,0,17,61,34,0,175,8,4,3,0,3,11,0,2,0.187,0.246,0.319,2022,HOU,0.565
1B,172,620,61,146,42,0,14,62,37,0,93,7,0,3,0,8,19,9,1,0.235,0.285,0.371,2022,HOU,0.6559999999999999
2B,188,632,110,172,41,0,30,62,73,2,117,8,0,1,0,6,14,19,1,0.272,0.354,0.479,2022,HOU,0.833
3B,168,584,97,154,40,0,24,102,88,1,82,11,0,10,0,4,19,1,2,0.264,0.365,0.455,2022,HOU,0.8200000000000001
SS,171,633,82,159,27,2,24,72,28,0,147,7,3,5,3,10,10,11,4,0.251,0.288,0.414,2022,HOU,0.702
LF,207,588,91,163,27,1,32,98,80,2,124,4,1,8,0,1,11,2,2,0.277,0.363,0.49,2022,HOU,0.853
CF,197,561,59,118,21,6,11,48,41,0,170,6,1,3,0,6,9,10,4,0.21,0.27,0.328,2022,HOU,0.5980000000000001
RF,172,594,82,155,32,1,32,116,65,4,108,1,0,3,3,6,13,27,4,0.261,0.333,0.48,2022,HOU,0.813
DH,173,592,90,156,33,3,29,86,78,7,141,6,0,6,0,2,10,3,2,0.264,0.352,0.476,2022,HOU,0.828
C,185,552,65,126,27,0,29,75,37,0,169,5,12,2,0,3,15,0,0,0.228,0.282,0.435,2023,HOU,0.717
1B,170,625,78,148,29,1,24,103,50,1,142,6,0,7,0,12,20,0,2,0.237,0.297,0.402,2023,HOU,0.6990000000000001
2B,182,682,125,193,33,4,20,71,55,0,127,7,0,3,0,10,17,19,3,0.283,0.341,0.431,2023,HOU,0.772
3B,169,628,103,162,28,3,26,98,92,1,90,8,0,2,0,3,22,3,1,0.258,0.359,0.436,2023,HOU,0.7949999999999999
SS,166,627,88,168,38,3,12,57,47,1,137,9,1,1,3,14,11,13,9,0.268,0.327,0.396,2023,HOU,0.7230000000000001
LF,192,599,93,166,28,0,31,111,62,1,141,14,0,6,0,8,7,21,8,0.277,0.355,0.479,2023,HOU,0.834
CF,189,576,81,147,30,3,22,77,49,0,158,9,1,3,0,8,4,15,3,0.255,0.322,0.432,2023,HOU,0.754
RF,180,602,101,169,36,5,32,116,83,9,100,3,0,10,7,12,11,29,6,0.281,0.365,0.517,2023,HOU,0.882
DH,171,603,81,147,30,3,25,86,67,4,154,10,0,5,0,7,16,7,0,0.244,0.327,0.428,2023,HOU,0.755
C,170,603,70,175,27,4,16,88,35,2,106,7,1,10,0,8,22,1,1,0.29,0.331,0.428,2024,HOU,0.759
1B,188,572,72,129,23,0,18,68,53,0,162,2,1,5,0,8,11,1,1,0.226,0.291,0.36,2024,HOU,0.651
2B,181,674,97,196,37,0,19,69,48,2,122,7,0,0,0,6,17,22,7,0.291,0.344,0.43,2024,HOU,0.774
3B,176,640,82,166,34,2,25,83,50,1,103,6,0,4,0,5,15,3,1,0.259,0.317,0.436,2024,HOU,0.753
SS,165,619,82,164,29,2,15,71,28,1,115,14,3,6,0,7,15,20,6,0.265,0.309,0.391,2024,HOU,0.7
LF,229,577,71,154,23,0,20,87,48,5,111,3,2,6,1,9,14,6,1,0.267,0.323,0.411,2024,HOU,0.734
CF,188,572,59,126,27,3,14,70,41,1,139,11,3,4,0,4,19,10,2,0.22,0.283,0.351,2024,HOU,0.6339999999999999
RF,204,560,93,140,27,2,28,72,71,4,149,7,2,3,2,5,8,22,2,0.25,0.34,0.455,2024,HOU,0.795
DH,176,614,91,172,34,2,30,73,67,12,139,9,0,6,1,7,8,5,1,0.28,0.356,0.489,2024,HOU,0.845
C,175,605,52,157,29,0,1,61,46,2,74,8,7,9,0,2,20,14,8,0.26,0.316,0.312,2010,KCA,0.628
1B,171,617,86,187,45,1,20,86,70,7,89,4,0,9,0,6,30,0,1,0.303,0.373,0.476,2010,KCA,0.849
2B,168,631,76,178,25,4,11,60,38,1,78,4,3,4,0,9,13,25,7,0.282,0.325,0.387,2010,KCA,0.712
3B,169,628,77,178,34,1,17,70,51,4,98,0,0,6,0,10,20,7,3,0.283,0.334,0.422,2010,KCA,0.756
SS,165,605,70,158,30,2,17,80,26,1,68,1,4,4,0,9,15,3,3,0.261,0.291,0.402,2010,KCA,0.6930000000000001
LF,169,637,74,179,22,6,12,67,55,2,121,2,12,8,0,8,14,31,17,0.281,0.336,0.391,2010,KCA,0.7270000000000001
CF,173,621,79,156,28,8,11,63,62,3,127,2,5,2,0,7,9,21,6,0.251,0.32,0.375,2010,KCA,0.6950000000000001
RF,179,611,73,182,33,7,8,68,54,1,110,4,8,5,0,10,12,6,4,0.298,0.356,0.414,2010,KCA,0.77
DH,175,577,67,144,29,2,22,78,58,4,120,10,1,5,1,4,17,2,0,0.25,0.326,0.421,2010,KCA,0.747
C,177,567,63,149,27,2,9,66,52,0,94,7,5,8,0,8,15,2,2,0.263,0.328,0.365,2011,KCA,0.6930000000000001
1B,167,654,79,178,36,3,23,88,49,10,118,2,1,5,0,5,16,11,5,0.272,0.323,0.442,2011,KCA,0.765
2B,177,627,77,159,20,8,5,57,39,0,85,5,14,4,0,10,9,28,11,0.254,0.301,0.335,2011,KCA,0.636
3B,165,617,52,161,34,4,9,75,46,5,118,2,5,8,0,8,14,11,1,0.261,0.311,0.373,2011,KCA,0.6839999999999999
SS,169,575,70,145,22,8,4,48,25,1,76,4,18,3,0,13,12,26,9,0.252,0.287,0.339,2011,KCA,0.626
LF,171,662,107,198,49,5,23,93,75,3,152,7,0,4,2,9,10,18,9,0.299,0.374,0.492,2011,KCA,0.866
CF,172,692,107,208,44,7,18,89,44,2,111,1,7,5,0,12,11,24,10,0.301,0.341,0.462,2011,KCA,0.803
RF,169,638,84,182,48,4,20,90,40,3,127,9,0,11,0,6,18,22,10,0.285,0.331,0.467,2011,KCA,0.798
DH,165,592,77,174,44,0,17,95,69,13,101,2,1,9,0,8,16,3,1,0.294,0.365,0.454,2011,KCA,0.819
C,173,608,58,162,37,1,14,80,24,3,72,2,1,7,0,5,21,0,2,0.266,0.293,0.4,2012,KCA,0.6930000000000001
1B,171,603,73,143,23,2,19,73,66,5,106,2,0,6,0,5,13,17,1,0.237,0.312,0.376,2012,KCA,0.688
2B,177,616,66,158,32,5,7,73,29,0,84,1,11,5,0,8,16,11,5,0.256,0.289,0.359,2012,KCA,0.6479999999999999
3B,168,621,74,151,38,1,20,79,43,4,131,7,0,6,0,3,6,5,3,0.243,0.297,0.404,2012,KCA,0.7010000000000001
SS,165,638,75,187,32,9,6,58,27,2,104,8,8,0,0,7,15,35,5,0.293,0.33,0.4,2012,KCA,0.73
LF,164,651,95,192,52,5,14,72,76,3,139,3,0,3,0,3,14,11,5,0.295,0.37,0.455,2012,KCA,0.825
CF,192,599,85,153,19,9,8,47,49,1,125,5,5,7,0,9,11,33,7,0.255,0.314,0.357,2012,KCA,0.671
RF,168,631,68,152,30,4,16,52,37,9,136,7,0,1,0,6,15,8,7,0.241,0.29,0.377,2012,KCA,0.667
DH,174,597,65,181,30,1,24,97,49,8,109,7,0,3,0,3,18,3,1,0.303,0.361,0.477,2012,KCA,0.838
C,186,607,61,164,32,3,18,87,42,4,107,6,0,5,0,5,15,2,0,0.27,0.321,0.422,2013,KCA,0.743
1B,169,651,88,192,34,3,19,89,51,4,109,1,1,4,0,9,18,11,4,0.295,0.345,0.444,2013,KCA,0.7889999999999999
2B,196,576,69,140,15,4,4,51,43,3,111,2,15,3,0,7,15,35,4,0.243,0.296,0.304,2013,KCA,0.6
3B,181,596,52,138,34,0,14,54,40,2,101,6,4,5,0,5,16,5,5,0.232,0.284,0.359,2013,KCA,0.643
SS,169,631,57,145,21,4,4,51,20,1,88,3,9,4,0,8,12,21,0,0.23,0.255,0.295,2013,KCA,0.55
LF,171,670,94,177,29,6,20,82,53,7,147,9,0,6,0,7,5,11,3,0.264,0.324,0.415,2013,KCA,0.739
CF,180,581,72,152,29,7,6,53,52,2,123,3,3,6,0,5,13,43,8,0.262,0.322,0.367,2013,KCA,0.6890000000000001
RF,193,586,70,151,29,7,12,71,32,3,137,9,3,5,0,7,11,12,5,0.258,0.304,0.392,2013,KCA,0.696
DH,180,565,60,165,27,0,14,74,77,9,97,3,0,4,0,5,25,0,0,0.292,0.378,0.414,2013,KCA,0.792
C,185,636,60,160,30,2,19,73,22,1,101,3,0,3,0,9,23,1,0,0.252,0.279,0.395,2014,KCA,0.674
1B,171,641,73,177,44,2,14,78,47,4,113,6,0,6,0,3,18,4,2,0.276,0.329,0.417,2014,KCA,0.746
2B,178,639,66,162,28,4,7,76,35,3,87,4,6,8,0,7,10,13,4,0.254,0.293,0.343,2014,KCA,0.636
3B,179,573,58,132,27,1,17,66,43,1,101,5,2,5,0,8,14,1,0,0.23,0.288,0.37,2014,KCA,0.6579999999999999
SS,168,585,74,165,34,5,3,51,23,1,85,6,8,5,0,6,12,31,6,0.282,0.313,0.373,2014,KCA,0.6859999999999999
LF,175,595,87,153,34,1,19,75,68,5,131,12,0,4,0,4,11,12,3,0.257,0.343,0.413,2014,KCA,0.756
CF,207,594,67,168,26,6,4,66,41,1,139,2,5,4,0,8,11,45,7,0.283,0.329,0.367,2014,KCA,0.696
RF,213,648,80,184,32,7,4,53,46,1,93,10,8,3,0,6,8,26,9,0.284,0.339,0.373,2014,KCA,0.712
DH,183,569,58,143,28,1,6,59,49,3,116,3,0,9,0,4,23,2,0,0.251,0.31,0.336,2014,KCA,0.646
C,193,610,57,153,28,0,22,76,18,4,105,6,5,6,0,12,24,1,0,0.251,0.277,0.405,2015,KCA,0.682
1B,170,634,100,187,35,5,19,95,65,6,120,4,1,3,0,4,16,7,3,0.295,0.363,0.456,2015,KCA,0.819
2B,174,609,62,143,35,8,6,59,29,1,92,1,2,5,0,11,12,5,4,0.235,0.269,0.348,2015,KCA,0.617
3B,177,625,81,175,37,2,23,92,50,1,92,12,4,5,0,4,13,1,2,0.28,0.342,0.456,2015,KCA,0.798
SS,170,666,82,173,24,5,3,50,29,1,83,8,12,5,0,7,11,19,6,0.26,0.297,0.324,2015,KCA,0.621
LF,187,568,73,153,28,6,22,74,67,7,130,18,2,7,0,5,4,10,8,0.269,0.361,0.456,2015,KCA,0.817
CF,178,631,111,191,41,7,18,86,43,4,112,13,4,5,0,8,17,33,7,0.303,0.357,0.475,2015,KCA,0.832
RF,181,598,60,146,31,5,5,46,25,0,113,7,2,7,0,5,12,17,1,0.244,0.279,0.338,2015,KCA,0.617
DH,164,577,83,166,41,3,21,107,54,4,107,7,0,4,0,8,22,0,0,0.288,0.354,0.478,2015,KCA,0.832
C,183,608,72,152,36,3,25,76,27,3,149,7,2,3,0,2,13,0,0,0.25,0.288,0.442,2016,KCA,0.73
1B,171,627,87,169,26,2,28,105,61,5,136,1,0,4,0,7,19,6,3,0.27,0.333,0.451,2016,KCA,0.784
2B,178,586,73,139,28,5,4,51,40,0,138,4,9,4,0,12,5,15,4,0.237,0.289,0.323,2016,KCA,0.612
3B,173,630,64,166,37,1,20,60,42,1,122,0,2,2,0,7,20,2,1,0.263,0.309,0.421,2016,KCA,0.73
SS,173,649,59,169,25,6,7,57,28,2,99,3,10,5,0,8,16,17,4,0.26,0.292,0.35,2016,KCA,0.6419999999999999
LF,178,583,80,136,23,3,18,58,62,3,179,8,1,3,0,2,12,13,3,0.233,0.314,0.376,2016,KCA,0.69
CF,177,634,93,180,30,7,12,69,40,4,132,7,5,2,1,4,18,31,9,0.284,0.332,0.41,2016,KCA,0.742
RF,176,605,65,178,29,5,8,65,31,1,123,7,4,5,0,15,12,21,8,0.294,0.333,0.398,2016,KCA,0.7310000000000001
DH,174,566,64,146,25,1,25,91,47,2,126,8,2,5,0,3,18,0,0,0.258,0.321,0.438,2016,KCA,0.759
C,202,598,69,155,27,2,28,93,31,3,126,6,1,5,1,3,21,1,0,0.259,0.3,0.452,2017,KCA,0.752
1B,182,624,95,196,29,1,25,93,64,1,111,0,0,2,0,9,20,6,1,0.314,0.377,0.484,2017,KCA,0.861
2B,175,650,84,177,31,6,19,80,31,0,108,6,6,6,0,9,16,35,10,0.272,0.309,0.426,2017,KCA,0.735
3B,184,619,78,167,28,0,36,95,37,7,109,2,0,7,0,6,20,0,0,0.27,0.31,0.489,2017,KCA,0.7989999999999999
SS,174,612,71,156,37,5,6,56,15,1,105,4,7,4,0,10,15,4,7,0.255,0.276,0.361,2017,KCA,0.637
LF,182,563,60,126,25,2,14,59,50,3,145,13,2,6,0,6,8,8,4,0.224,0.299,0.35,2017,KCA,0.649
CF,189,638,92,187,29,5,18,55,52,1,112,8,0,2,0,12,24,26,2,0.293,0.353,0.439,2017,KCA,0.792
RF,187,623,78,151,31,3,18,61,52,1,154,4,0,2,1,4,19,5,4,0.242,0.304,0.388,2017,KCA,0.692
DH,162,540,65,112,22,0,29,65,52,2,167,2,0,3,0,1,15,2,0,0.207,0.278,0.409,2017,KCA,0.687
C,174,601,57,132,30,0,21,89,30,0,132,14,2,7,0,9,23,1,1,0.22,0.27,0.374,2018,KCA,0.644
1B,167,597,69,138,33,4,25,76,56,1,163,9,0,2,0,3,13,3,3,0.231,0.306,0.425,2018,KCA,0.731
2B,171,639,87,183,41,3,10,52,47,2,111,4,4,6,0,2,16,37,6,0.286,0.336,0.407,2018,KCA,0.743
3B,170,622,69,149,30,4,20,76,43,3,122,3,2,6,0,8,20,5,3,0.24,0.289,0.397,2018,KCA,0.6859999999999999
SS,169,589,80,143,26,5,16,56,32,1,122,6,8,4,0,10,9,33,6,0.243,0.287,0.385,2018,KCA,0.6719999999999999
LF,167,602,69,147,29,3,12,62,61,4,142,12,2,2,0,7,8,10,3,0.244,0.325,0.362,2018,KCA,0.687
CF,173,610,64,150,28,5,10,48,47,0,155,3,3,2,0,8,10,13,10,0.246,0.302,0.357,2018,KCA,0.659
RF,170,595,69,146,35,4,12,57,70,1,169,7,2,4,0,8,10,6,5,0.245,0.33,0.378,2018,KCA,0.708
DH,160,587,69,147,28,1,27,80,37,1,171,9,0,5,0,5,13,6,0,0.25,0.303,0.44,2018,KCA,0.743
C,178,548,58,123,32,0,12,50,42,0,144,10,5,7,0,10,17,0,2,0.224,0.288,0.349,2019,KCA,0.637
1B,182,599,45,132,29,1,19,72,48,1,162,2,0,3,0,4,20,2,1,0.22,0.279,0.367,2019,KCA,0.646
2B,174,643,90,163,35,6,11,56,44,2,120,4,4,4,0,6,5,10,6,0.253,0.304,0.378,2019,KCA,0.6819999999999999
3B,171,624,71,150,28,7,27,92,50,2,188,5,0,4,0,4,16,3,2,0.24,0.3,0.438,2019,KCA,0.738
SS,173,639,77,159,31,11,9,79,29,0,167,2,5,6,0,13,11,42,8,0.249,0.281,0.374,2019,KCA,0.655
LF,175,618,84,166,33,2,13,77,54,4,112,19,2,6,0,9,13,9,4,0.269,0.343,0.392,2019,KCA,0.7350000000000001
CF,184,565,65,119,28,2,5,37,49,1,163,0,5,5,0,6,7,24,6,0.211,0.271,0.294,2019,KCA,0.565
RF,195,637,87,181,33,5,19,67,53,3,179,11,0,3,0,6,11,12,4,0.284,0.348,0.441,2019,KCA,0.7889999999999999
DH,159,553,100,153,30,6,44,115,75,3,146,6,0,4,3,11,12,6,1,0.277,0.367,0.591,2019,KCA,0.958
C,187,621,77,171,28,0,34,97,31,4,151,9,2,2,1,9,15,1,0,0.275,0.318,0.485,2021,KCA,0.8029999999999999
1B,177,594,66,132,18,1,18,71,81,3,118,5,0,7,0,7,8,2,1,0.222,0.317,0.347,2021,KCA,0.6639999999999999
2B,184,665,100,190,41,3,10,70,36,1,97,4,2,12,0,9,10,33,4,0.286,0.321,0.402,2021,KCA,0.7230000000000001
3B,191,586,60,131,25,8,12,52,35,0,144,6,3,2,0,5,13,15,4,0.224,0.273,0.355,2021,KCA,0.628
SS,176,563,82,165,28,6,6,55,49,0,87,5,13,3,0,5,11,22,2,0.293,0.353,0.396,2021,KCA,0.749
LF,179,619,75,159,34,2,20,85,40,0,130,3,3,7,0,11,6,8,9,0.257,0.302,0.415,2021,KCA,0.717
CF,171,569,69,143,23,4,13,60,36,0,156,6,4,5,0,7,10,15,11,0.251,0.3,0.374,2021,KCA,0.6739999999999999
RF,219,581,69,128,35,3,14,61,50,0,159,5,0,8,2,8,14,16,1,0.22,0.284,0.363,2021,KCA,0.647
DH,171,533,75,114,17,0,35,86,56,0,174,12,1,5,4,8,12,5,0,0.214,0.3,0.443,2021,KCA,0.743
C,193,616,68,146,31,2,26,96,41,2,160,6,3,4,0,12,9,2,3,0.237,0.289,0.42,2022,KCA,0.709
1B,178,575,69,152,32,3,24,76,80,0,126,4,1,2,0,7,14,3,1,0.264,0.357,0.456,2022,KCA,0.813
2B,177,595,68,147,31,4,8,52,40,0,106,8,8,7,0,9,10,17,5,0.247,0.3,0.353,2022,KCA,0.653
3B,185,600,73,145,29,5,12,55,28,1,135,5,2,2,0,4,18,19,5,0.242,0.28,0.367,2022,KCA,0.647
SS,173,608,78,142,23,6,15,70,42,1,143,5,3,4,0,10,11,31,4,0.234,0.287,0.365,2022,KCA,0.6519999999999999
LF,189,608,74,163,23,3,11,77,70,0,132,5,1,7,0,4,9,9,5,0.268,0.345,0.37,2022,KCA,0.715
CF,181,570,63,142,18,4,13,63,45,0,156,4,2,6,0,6,7,8,4,0.249,0.306,0.363,2022,KCA,0.669
RF,213,592,73,144,33,7,12,64,48,0,159,3,0,6,1,4,14,10,4,0.243,0.3,0.383,2022,KCA,0.683
DH,184,594,49,122,20,3,16,48,56,3,149,7,0,6,0,6,8,0,1,0.205,0.279,0.33,2022,KCA,0.609
C,179,622,74,162,26,1,27,89,32,4,161,7,2,10,1,6,22,0,0,0.26,0.3,0.436,2023,KCA,0.736
1B,193,600,59,142,33,0,15,65,47,3,162,8,0,6,1,5,13,2,0,0.237,0.298,0.367,2023,KCA,0.665
2B,198,562,63,133,27,3,15,69,44,0,136,10,4,6,0,8,3,11,3,0.237,0.301,0.375,2023,KCA,0.6759999999999999
3B,186,597,67,152,24,5,6,65,44,0,153,5,2,9,0,7,10,25,6,0.255,0.307,0.342,2023,KCA,0.649
SS,169,652,100,181,27,12,29,97,42,1,119,3,1,10,0,2,10,48,15,0.278,0.32,0.489,2023,KCA,0.8089999999999999
LF,216,590,74,140,29,9,19,55,52,2,164,6,1,4,0,9,5,14,4,0.237,0.304,0.414,2023,KCA,0.718
CF,186,553,77,121,34,7,11,59,34,0,137,5,3,2,0,2,10,15,3,0.219,0.269,0.365,2023,KCA,0.634
RF,195,573,77,131,25,5,21,71,61,1,187,7,1,5,0,9,9,26,8,0.229,0.308,0.4,2023,KCA,0.708
DH,178,595,67,150,29,1,19,69,40,1,154,20,0,5,1,6,13,11,6,0.252,0.318,0.4,2023,KCA,0.718
C,182,598,61,167,32,0,17,83,45,9,110,5,1,4,0,7,19,1,0,0.279,0.333,0.418,2024,KCA,0.751
1B,182,614,75,160,31,1,24,108,49,2,112,8,1,17,1,3,18,1,0,0.261,0.315,0.432,2024,KCA,0.747
2B,214,582,76,142,27,4,14,67,43,1,106,3,4,6,0,5,12,11,0,0.244,0.297,0.376,2024,KCA,0.673
3B,185,613,89,142,26,3,14,66,49,0,129,0,3,4,0,9,9,28,3,0.232,0.287,0.352,2024,KCA,0.639
SS,173,641,125,212,46,11,32,110,57,9,107,8,0,8,0,6,4,30,12,0.331,0.388,0.587,2024,KCA,0.975
LF,223,575,61,122,25,3,19,56,43,1,151,3,2,0,1,6,3,10,6,0.212,0.271,0.365,2024,KCA,0.636
CF,203,515,71,121,20,9,8,53,35,0,120,4,9,4,1,6,7,17,5,0.235,0.287,0.355,2024,KCA,0.6419999999999999
RF,203,564,60,125,27,1,20,66,47,0,131,5,2,2,0,3,14,3,1,0.222,0.286,0.379,2024,KCA,0.665
DH,194,586,73,124,23,1,21,82,46,0,158,10,0,7,0,2,7,6,0,0.212,0.277,0.362,2024,KCA,0.639
C,177,602,86,179,46,2,10,76,59,10,80,8,3,6,0,5,24,1,3,0.297,0.364,0.43,2010,MIN,0.794
1B,170,623,105,195,48,4,25,103,79,10,111,3,0,3,0,4,19,5,2,0.313,0.391,0.523,2010,MIN,0.914
2B,183,647,102,169,32,7,10,59,63,0,109,4,8,5,0,8,18,12,5,0.261,0.328,0.379,2010,MIN,0.7070000000000001
